a,une
invent,inventer
invention,invention
invest,investir
investigate,enquêter
investigation,enquête
investment,investissement
invitation,invitation
invite,inviter
involve,impliquer
involved,impliqué
involvement,participation
iron,le fer
irritate,irriter
irritated,irrité
irritating,irritant
island,île
issue,problème
it,il
item,article
its,ses
itself,lui\\-même
jacket,veste
jam,confiture
January,janvier
jealous,jaloux
jeans,jeans
jelly,gelée
jewellery,bijoux
job,emploi
join,joindre
join in,se joindre à
joint,mixte
jointly,conjointement
joke,blague
journalist,journaliste
journey,périple
joy,joie
judge,juge
judgement,jugement
juice,jus
July,juillet
jump,sauter
June,juin
junior,junior
just,juste
justice,Justice
justified,justifiée
justify,justifier
keen,enthousiaste
keep,garder
keep out,rester dehors
keep out of,reste en dehors de
keep up,continuez
keep up with,suivre
key,clé
keyboard,clavier
kick,donner un coup
kid,enfant
kill,tuer
killing,meurtre
kilogram,kilogramme
kilometre,kilomètre
kind,gentil
kindly,gentiment
kindness,la gentillesse
king,Roi
kiss,baiser
kitchen,cuisine
knee,le genou
knife,couteau
knit,tricoter
knitted,tricoté
knitting,tricot
knock,frappe
knock down,abattre
knock out,Assommer
knot,nœud
know,savoir
knowledge,connaissance
lab,laboratoire
label,étiquette
laboratory,laboratoire
labour,la main d'oeuvre
lack,manquer de
lacking,manquant
lady,Dame
lake,Lac
lamp,lampe
land,terre
landscape,paysage
lane,voie
language,Langue
large,grand
largely,en grande partie
last 1,dernière 1
late,en retard
later,plus tard
latest,dernier
latter,dernier
laugh,rire
laugh at,rire de
launch,lancement
law,loi
lawyer,avocat
lay,allonger
layer,couche
lazy,paresseux
lead 1,conduire 1
leader,chef
leading 1,menant 1
leaf,feuille
league,ligue
lean,maigre
learn,apprendre
least,moins
leather,cuir
leave,laisser
leave out,omettre
lecture,conférence
left,la gauche
leg,jambe
legal,légal
legally,légalement
lemon,citron
lend,prêter
length,longueur
less,Moins
lesson,leçon
let,laisser
let down,laisser tomber
let off,lâcher
letter,lettre
level,niveau
library,bibliothèque
licence,Licence
license,Licence
lid,couvercle
lie 1,mensonge 1
lie 2,mensonge 2
lie around,se trouvent à
lie down,s'allonger
life,la vie
lift,ascenseur
light,lumière
lightly,légèrement
like,comme
likely,probable
limit,limite
limited,limité
limit to,limite à
line,ligne
link,lien
lip,lèvre
liquid,liquide
list,liste
listen,Ecoutez
literature,Littérature
litre,litre
little,peu
live 1,1 en direct
live 2,2 en direct
lively,animé
live on,vivre de
live through,survivre
live together,vivre ensemble
living,vivant
load,charge
loan,prêt
local,local
locally,localement
locate,Localiser
located,situé
location,emplacement
lock,fermer à clé
lock up,enfermer
logic,logique
logical,logique
lonely,solitaire
long,longue
look,Regardez
look after,prendre soin
look at,Regarder
look down on,regarder de haut
look forward to,hâte de
look into,examiner
look on,regarder
look on with,regarder avec
look out,Attention
look out for,regarder dehors pour
look round,Regarder autour
look through,regarder à travers
look up,Chercher
look up to,chercher à
loose,ample
loosely,librement
lord,Seigneur
lorry,camion
lose,perdre
loss,perte
lost,perdu
lot,lot
loud,bruyant
loudly,bruyamment
love,l'amour
lovely,charmant
lover,amoureux
low,faible
loyal,fidèle
luck,la chance
lucky,chanceux
luggage,bagage
lump,bosse
lunch,le déjeuner
lung,poumon
machine,machine
machinery,machinerie
mad,furieux
magazine,magazine
magic,la magie
mail,courrier
main,principale
mainly,principalement
maintain,maintenir
major,Majeur
majority,majorité
make,faire
make into,faire en
make up,maquillage
make\\-up,maquillage
make up for,compenser
male,Masculin
mall,centre commercial
man,homme
manage,gérer
management,la gestion
manager,directeur
manner,manière
manufacture,fabrication
manufacturer,fabricant
manufacturing,fabrication
many,beaucoup
map,carte
march,Mars
March,Mars
mark,marque
market,marché
marketing,commercialisation
marriage,mariage
married,marié
marry,marier
mass,Masse
massive,massif
master,Maître
match,rencontre
matching,correspondant à
match up,correspondre
mate,camarade
material,Matériel
mathematics,mathématiques
matter,matière
maximum,maximum
may,mai
May,Mai
maybe,peut être
mayor,maire
me,moi
meal,repas
mean,signifier
meaning,sens
means,veux dire
meanwhile,pendant ce temps
measure,mesure
measurement,la mesure
meat,Viande
media,médias
medical,médical
medicine,médicament
medium,moyen
meet,rencontrer
meeting,réunion
meet up,se rencontrer
meet with,rencontrer
melt,fondre
member,membre
membership,adhésion
memory,Mémoire
mental,mental
mentally,mentalement
mention,mention
menu,menu
mere,simple
merely,seulement
mess,désordre
message,message
metal,métal
method,méthode
metre,mètre
mid\\-,milieu\\-
midday,midi
middle,milieu
midnight,minuit
might,pourrait
mild,Bénin
mile,mile
military,militaire
milk,Lait
milligram,milligramme
millimetre,millimètre
million,million
millionth,millionième
mind,esprit
mine,mien
mineral,minéral
minimum,le minimum
minister,ministre
ministry,ministère
minor,mineur
minority,minorité
minute 1,1 minute
mirror,miroir
miss,manquer
missing,manquant
miss out,passer
mistake,erreur
mistake for,erreur pour
mistaken,erroné
mix,mélanger
mixed,mixte
mixture,mélange
mix up,mélanger
mobile,mobile
mobile phone,téléphone portable
model,modèle
modern,moderne
mom,maman
moment,moment
Monday,Lundi
money,argent
monitor,moniteur
month,mois
mood,ambiance
moon,lune
moral,moral
morally,moralement
more,plus
moreover,de plus
morning,Matin
most,plus
mostly,la plupart
mother,mère
motion,mouvement
motor,moteur
motorbike,moto
motorcycle,moto
mount,monter
mountain,Montagne
mouse,Souris
mouth,bouche
move,bouge toi
move in,emménager
movement,mouvement
move out,déménager
move over,bouge
movie,film
movie theater,cinéma
moving,en mouvement
Mr,Monsieur
Mrs,Mme
Ms,SP
much,beaucoup
mud,boue
multiply,multiplier
mum,maman
murder,meurtre
muscle,muscle
museum,musée
music,la musique
musical,musical
musician,musicien
must,doit
my,mon
myself,moi même
mysterious,mystérieux
mystery,mystère
nail,clou
naked,nu
name,Nom
narrow,étroit
nation,nation
national,nationale
natural,Naturel
naturally,naturellement
nature,la nature
navy,marine
near,près
nearby,proche
nearly,presque
neat,soigné
neatly,soigneusement
necessarily,nécessairement
necessary,nécessaire
neck,cou
need,avoir besoin
needle,aiguille
negative,négatif
neighbour,voisin
neighbourhood,quartier
neither,ni
nephew,neveu
nerve,nerf
nervous,nerveux
nervously,nerveusement
nest,nid
net,net
network,réseau
never,jamais
nevertheless,Néanmoins
new,Nouveau
newly,nouvellement
news,nouvelles
newspaper,journal
next,suivant
next to,à côté de
nice,agréable
nicely,bien
niece,nièce
night,nuit
nine,neuf
nineteen,dix\\-neuf
nineteenth,dix\\-neuvième
ninetieth,ninetieth
ninety,quatre vingt dix
ninth,neuvième
no,non
nobody,personne
noise,bruit
noisily,à grand bruit
noisy,bruyant
non\\-,non\\-
none,aucun
nonsense,absurdité
no one,personne
nor,ni
normal,Ordinaire
normally,normalement
north,Nord
northern,nord
nose,nez
not,ne pas
note,Remarque
note down,inscrire
nothing,rien
notice,remarquer
noticeable,perceptible
novel,roman
November,novembre
now,maintenant
nowhere,nulle part
nuclear,nucléaire
number,nombre
nurse,infirmière
nut,écrou
obey,obéit
object,objet
object,objet
objective,objectif
observation,observation
observe,observer
obtain,obtenir
obvious,évident
obviously,évidemment
occasion,occasion
occasionally,parfois
occupied,occupé
occupy,occuper
occur,se produire
occur to,Arriver à
ocean,océan
o’clock,heure
October,octobre
odd,impair
oddly,bizarrement
of,de
off,de
offence,infraction
offend,offenser
offense,infraction
offensive,offensive
offer,offre
office,Bureau
officer,officier
official,officiel
officially,officiellement
often,souvent
oh,Oh
oil,pétrole
OK,D'accord
old,vieux
old\\-fashioned,démodé
on,sur
once,une fois que
one,une
one another,un autre
onion,oignon
online,en ligne
only,seulement
onto,sur
open,ouvert
opening,ouverture
openly,ouvertement
open up,S'ouvrir
operate,fonctionner
operation,opération
opinion,opinion
opponent,adversaire
opportunity,opportunité
oppose,s'opposer
opposed,opposé
opposing,opposé
opposite,contraire
opposition,opposition
option,option
or,ou
orange,Orange
order,ordre
ordinary,ordinaire
organ,organe
organization,organisation
organize,organiser
organized,organisé
origin,origine
original,original
originally,initialement
other,autre
otherwise,autrement
ought to,devrait
our,notre
ours,les notres
ourselves,nous\\-mêmes
out,en dehors
outdoor,Extérieur
outdoors,en plein air
outer,extérieur
outline,contour
output,production
outside,à l'extérieur
outside,à l'extérieur
outstanding,exceptionnel
oven,four
over,plus de
overall,global
overall,global
overcome,surmonter
owe,devoir
own,posséder
owner,propriétaire
own up,confesser
pace 1,rythme 1
pack,pack
package,paquet
packaging,emballage
packet,paquet
pack up,emballer
page,page
pain,douleur
painful,douloureux
paint,peindre
painter,peintre
painting,La peinture
pair,paire
palace,palais
pale,pâle
pan 1,pan 1
panel,panneau
pants,un pantalon
paper,papier
parallel,parallèle
parent,parent
park,parc
parliament,parlement
part,partie
particular,particulier
particularly,particulièrement
partly,partiellement
partner,partenaire
partnership,Partenariat
party,fête
pass,passer
passage,passage
pass away,mourir
pass by,passer à côté
passenger,passager
passing,qui passe
pass on,transmettre
pass out,tomber dans les pommes
passport,passeport
pass round,passer tour
pass through,traverser
past,passé
path,chemin
patience,la patience
patient,patient
pattern,modèle
pause,pause
pay,Payer
pay back,rembourser
payment,Paiement
pay out,payer
pay up,payer
peace,paix
peaceful,paisible
peak,de pointe
pen,stylo
pencil,crayon
penny,penny
pension 1,1 pension
people,gens
pepper,poivre
per,par
per cent,pour cent
perfect,parfait
perfectly,à la perfection
perform,effectuer
performance,performance
performer,interprète
perhaps,peut\\-être
period,période
permanent,permanent
permanently,en permanence
permission,autorisation
permit,permis
person,la personne
personal,personnel
personality,personnalité
personally,personnellement
persuade,persuader
pet,animal de compagnie
petrol,essence
phase,phase
philosophy,philosophie
phone,téléphone
photo,photo
photocopy,photocopie
photograph,photographier
photographer,photographe
photography,la photographie
phrase,phrase
physical,physique
physically,physiquement
physics,la physique
piano,piano
pick,choisir
pick up,ramasser
picture,image
piece,pièce
pig,porc
pile,pile
pile up,entasser
pill,pilule
pilot,pilote
pin,épingle
pink,rose
pint,pinte
pipe,tuyau
pitch,pas
pity,pitié
place,endroit
plain,plaine
plan,plan
plane,avion
planet,planète
planning,Planification
plant,plante
plastic,Plastique
plate,assiette
platform,Plate\\-forme
play,jouer
play about,jouer
player,joueur
play with,joue avec
pleasant,agréable
pleasantly,agréablement
please,S'il vous plaît
pleased,heureux
pleasing,plaisant
pleasure,plaisir
plenty,beaucoup
plot,terrain
plug,prise de courant
plug in,brancher
plus 1,plus 1
p.m.,p.m.
pocket,poche
poem,poème
poetry,poésie
point,point
pointed,pointu
point out,signaler
poison,poison
poisonous,toxique
pole,pôle
police,police
policy,politique
polish,polonais
polite,poli
politely,poliment
political,politique
politically,politiquement
politician,politicien
politics,politique
pollution,la pollution
pool,bassin
poor,pauvres
pop,pop
popular,populaire
population,population
port,Port
pose,pose
position,position
positive,positif
possess,posséder
possession,possession
possibility,possibilité
possible,possible
possibly,peut\\-être
post,Publier
post office,bureau de poste
pot,pot
potato,Patate
potential,potentiel
potentially,potentiellement
pound,livre
pour,verser
powder,poudre
power,Puissance
powerful,puissant
practical,pratique
practically,pratiquement
practice,entraine toi
practise,entraine toi
praise,louange
pray,prier
prayer,prière
precise,précis
precisely,précisément
predict,prédire
prefer,préférer
preference,préférence
pregnant,Enceinte
premises,locaux
preparation,préparation
prepare,préparer
prepared,préparé
presence,présence
present,présent
present,présent
presentation,présentation
preserve,préserver
president,Président
press,presse
pressure,pression
presumably,probablement
pretend,faire semblant
pretty,joli
prevent,prévenir
previous,précédent
previously,précédemment
price,prix
pride,fierté
priest,prêtre
primarily,principalement
primary,primaire
prime minister,premier ministre
prince,prince
princess,Princesse
principle,principe
print,impression
printer,imprimante
printing,impression
print off,imprimer
prior,avant
priority,priorité
prison,prison
prisoner,prisonnier
private,privé
privately,en privé
prize,prix
probable,probable
probably,Probablement
problem,problème
procedure,procédure
proceed,procéder
process 1,processus 1
produce,produire
producer,producteur
product,produit
production,production
profession,profession
professional,professionnel
professor,professeur
profit,profit
program,programme
programme,programme
progress,le progrès
progress,le progrès
project,projet
project,projet
promise,promettre
promote,promouvoir
promotion,promotion
prompt,rapide
promptly,rapidement
pronounce,prononcer
pronunciation,prononciation
proof,preuve
proper,correct
properly,correctement
property,propriété
proportion,proportion
proposal,proposition
propose,proposer
prospect,perspective
protect,protéger
protection,protection
protest,manifestation
protest,manifestation
proud,fier
proudly,fièrement
prove,prouver
provide,fournir
provided,à condition de
providing,fournir
pub,pub
public,Publique
publication,publication
publicity,publicité
publicly,publiquement
publish,publier
publishing,édition
pull,tirer
pull apart,démonter
pull down,tirer vers le bas
pull in,tirer dans
pull off,retirer
pull out,extraire
pull over,arrêtez\\-vous
pull through,tirer
pull together,Rassembler
pull up,remonter
punch,coup de poing
punish,punir
punishment,Châtiment
pupil,élève
purchase,achat
pure,pur
purely,purement
purple,violet
purpose,objectif
pursue,poursuivre
push,pousser
push about,pousser au sujet
push forward,faire avancer
put,mettre
put away,ranger
put back,retarder
put down,déposer
put forward,mettre en avant
put in,mettre
put off,repousser
put on,mettez
put out,éteindre
put through,mettre par
put together,mettre ensemble
put up,faire des réserves
put up with,supporter
qualification,qualification
qualified,qualifié
qualify,qualifier
quality,qualité
quantity,quantité
quarter,trimestre
queen,reine
question,question
quick,rapide
quickly,rapidement
quiet,silencieux
quietly,tranquillement
quit,quitter
quite,assez
quote,citation
race,course
racing,courses
radio,radio
rail,rail
railroad,chemin de fer
railway,chemin de fer
rain,pluie
raise,élever
range,gamme
rank,rang
rapid,rapide
rapidly,rapidement
rare,rare
rarely,rarement
rate,taux
rather,plutôt
raw,brut
re\\-,ré\\-
reach,atteindre
react,réagir
reaction,réaction
read,lis
reader,lecteur
reading,en train de lire
read out,lire à haute voix
read over,relire
ready,prêt
real,réel
realistic,réaliste
reality,réalité
realize,prendre conscience de
really,vraiment
rear,arrière
reason,raison
reasonable,raisonnable
reasonably,raisonnablement
recall,rappel
receipt,le reçu
receive,recevoir
recent,récent
recently,récemment
reception,accueil
reckon,croire
reckon on,compter sur
recognition,reconnaissance
recognize,reconnaître
recommend,recommander
record,record
record,record
recording,enregistrement
recover,récupérer
red,rouge
reduce,réduire
reduction,réduction
refer,référer
reference,référence
refer to,faire référence à
reflect,réfléchir
reform,réforme
refrigerator,réfrigérateur
refusal,refus
refuse 1,refuser 1
regard,qui concerne
regarding,En ce qui concerne
region,Région
regional,régional
register,S'inscrire
regret,le regret
regular,régulier
regularly,régulièrement
regulation,régulation
reject,rejeter
relate,rapporter
related,en relation
relate to,se rapporter à
relation,relation
relationship,relation
relative,relatif
relatively,relativement
relax,se détendre
relaxed,détendu
relaxing,relaxant
release,Libération
relevant,pertinent
relief,le soulagement
religion,religion
religious,religieux
rely,compter
rely on,compter sur
remain,rester
remaining,restant
remains,restes
remark,remarque
remarkable,remarquable
remarkably,remarquablement
remember,rappelles toi
remind,rappeler
remind of,rappeler
remote,éloigné
removal,suppression
remove,retirer
rent,location
rented,loué
repair,réparation
repeat,répéter
repeated,répété
repeatedly,à plusieurs reprises
replace,remplacer
reply,réponse
report,rapport
represent,représenter
representative,représentant
reproduce,reproduire
reputation,réputation
request,demande
require,exiger
requirement,exigence
rescue,porter secours
research,recherche
reservation,réservation
reserve,réserve
resident,résident
resist,résister
resistance,la résistance
resolve,résoudre
resort,recours
resort to,recourir à
resource,Ressource
respect,le respect
respond,répondre
response,réponse
responsibility,responsabilité
responsible,responsable
rest,du repos
restaurant,restaurant
restore,restaurer
restrict,restreindre
restricted,limité
restriction,restriction
result,résultat
result in,aboutir à
retain,conserver
retire,se retirer
retired,retraité
retirement,retraite
return,revenir
reveal,révéler
reverse,inverser
review,la revue
revise,réviser
revision,révision
revolution,révolution
reward,récompense
rhythm,rythme
rice,riz
rich,riches
rid,débarrasser
ride,balade
rider,cavalier
ridiculous,ridicule
riding,équitation
right,droite
rightly,justement
ring 1,anneau 1
ring 2,cycle 2
ring back,rappeler
rise,augmenter
risk,risque
rival,rival
river,rivière
road,route
rob,Rob
rock,Roche
role,rôle
roll,rouleau
romantic,romantique
roof,toit
room,chambre
root,racine
rope,corde
rough,rugueux
roughly,grossièrement
round,rond
rounded,arrondie
route,route
routine,routine
row 1,une rangée
royal,Royal
rub,frotter
rubber,caoutchouc
rubbish,ordures
rude,grossier
rudely,sans ménagement
ruin,se ruiner
ruined,ruiné
rule,règle
rule out,éliminer
ruler,règle
rumour,rumeur
run,courir
run after,courir après
run away,fuyez
runner,coureur
running,fonctionnement
run out,s'épuiser
run over,écraser
run through,parcourir
rural,rural
rush,se ruer
sack,sac
sad,triste
sadly,tristement
sadness,tristesse
safe,sûr
safely,sans encombre
safety,sécurité
sail,voile
sailing,voile
sailor,marin
salad,salade
salary,un salaire
sale,vente
salt,sel
salty,salé
same,même
sample,échantillon
sand,le sable
satisfaction,la satisfaction
satisfied,satisfait
satisfy,satisfaire
satisfying,satisfaisant
Saturday,samedi
sauce,sauce
save,enregistrer
saving,économie
say,dire
scale,échelle
scare,effrayer
scared,effrayé
scare off,effrayer
scene,scène
schedule,programme
scheme,schème
school,école
science,science
scientific,scientifique
scientist,scientifique
scissors,les ciseaux
score,But
scratch,rayure
scream,crier
screen,écran
screw,vis
sea,mer
seal,joint
seal off,obturer
search,chercher
season,saison
seat,siège
second 1,1 seconde
secondary,secondaire
secret,secret
secretary,secrétaire
secretly,secrètement
section,section
sector,secteur
secure,sécurise
security,Sécurité
see,voir
see about,voir au sujet
seed,la graine
seek,chercher
seem,sembler
see to,veiller à
select,sélectionner
selection,sélection
self,soi
self\\-,soi\\-
sell,vendre
sell off,liquider
sell out,vendu
senate,sénat
senator,sénateur
send,envoyer
send for,envoyer pour
send off,envoyer
senior,Sénior
sense,sens
sensible,sensible
sensitive,sensible
sentence,phrase
separate,séparé
separate,séparé
separated,séparé
separately,séparément
separation,séparation
September,septembre
series,séries
serious,sérieux
seriously,sérieusement
servant,serviteur
serve,servir
service,un service
session,session
set,ensemble
set off,déclencher
set out,partir planifier
settle,régler
settle down,s'installer
set up,installer
seven,Sept
seventeen,dix\\-sept
seventh,septième
seventieth,soixante\\-dixième
seventy,soixante\\-dix
several,nombreuses
severe,sévère
severely,gravement
sew,Coudre
sewing,couture
sex,sexe
sexual,sexuel
sexually,sexuellement
shade,ombre
shadow,ombre
shake,secouer
shall,doit
shallow,peu profond
shame,la honte
shape,forme
shaped,en forme de
share,partager
sharp,tranchant
sharply,nettement
shave,se raser
she,elle
sheep,mouton
sheet,feuille
shelf,étagère
shell,coquille
shelter,abri
shift,décalage
shine,éclat
shiny,brillant
ship,navire
shirt,chemise
shock,choc
shocked,choqué
shocking,choquant
shoe,chaussure
shoot,tirer
shoot down,abattre
shooting,tournage
shop,boutique
shopping,achats
short,court
shortly,prochainement
shot,coup
should,devrait
shoulder,épaule
shout,crier
show,spectacle
shower,douche
show off,frimer
show round,faire visiter les lieux
show up,arriver
shut,fermer
shut down,fermer
shut in,enfermé
shut out,exclure
shut up,tais\\-toi
shy,timide
sick,malade
side,côté
sideways,de côté
sight,vue
sign,signe
signal,signal
signature,Signature
significant,important
significantly,significativement
silence,silence
silent,silencieux
silk,soie
silly,idiot
silver,argent
similar,similaire
similarly,De même
simple,Facile
simply,simplement
since,puisque
sincere,sincère
sincerely,Cordialement
sing,chanter
singer,chanteur
singing,en chantant
single,Célibataire
sink,évier
sir,Monsieur
sister,sœur
sit,asseoir
sit down,asseyez\\-vous
site,site
situation,situation
six,six
sixteen,seize
sixth,sixième
sixtieth,soixantième
sixty,soixante
size,Taille
skilful,habile
skilfully,habilement
skill,compétence
skilled,qualifié
skin,peau
skirt,jupe
sky,ciel
sleep,dormir
sleeve,manche
slice,tranche
slide,faire glisser
slight,mince
slightly,légèrement
slip,caleçon
slope,pente
slow,lent
slowly,lentement
small,petit
smart,intelligent
smash,fracasser
smell,odeur
smile,sourire
smoke,fumée
smoking,fumeur
smooth,lisse
smoothly,doucement
snake,serpent
snow,neige
so,alors
soap,savon
social,social
socially,socialement
society,société
sock,chaussette
soft,doux
softly,doucement
software,Logiciel
soil,sol
soldier,soldat
solid,solide
solution,Solution
solve,résoudre
some,certains
some,certains
somebody,quelqu'un
somehow,en quelque sorte
someone,Quelqu'un
something,quelque chose
sometimes,quelquefois
somewhat,quelque peu
somewhere,quelque part
son,fils
song,chanson
soon,bientôt
sore,endolori
sorry,Désolé
sort,Trier
sort out,démêler
soul,âme
sound,du son
soup,soupe
sour,acide
source,la source
south,Sud
southern,du sud
space,espace
spare,de rechange
speak,parler
speaker,orateur
speak out,s'exprimer
speak up,parler plus fort
special,spécial
specialist,spécialiste
specially,spécialement
specific,spécifique
specifically,Plus précisément
speech,discours
speed,la vitesse
speed up,accélérer
spell,épeler
spelling,orthographe
spend,dépenser
spice,pimenter
spicy,épicé
spider,araignée
spin,tourner
spirit,esprit
spiritual,spirituel
spite,dépit
split,Divisé
split up,séparer
spoil,gâcher
spoken,parlé
spoon,cuillère
sport,sport
spot,place
spray,vaporisateur
spread,propagé
spread out,étaler
spring,printemps
square,carré
squeeze,écraser
stable,stable
staff,Personnel
stage,étape
stair,escalier
stamp,timbre
stand,supporter
standard,la norme
stand back,reculer
stand by,Etre prêt
stand for,représenter
stand out,ressortir
stand up,se lever
stand up for,Se lever pour
star,étoile
stare,regard
start,début
start off,commencer
start out,commencer
start up,Commencez
state,Etat
statement,déclaration
station,gare
statue,statue
status,statut
stay,rester
stay away,reste loin
stay out of,rester en dehors de
steadily,régulièrement
steady,stable
steal,voler
steam,vapeur
steel,acier
steep,raide
steeply,abruptement
steer,diriger
step,étape
stick,bâton
stick out,tenir le coup
stick to,s'en tenir à
stick up,coller des
sticky,gluant
stiff,rigide
stiffly,raidement
still,encore
sting,piquer
stir,remuer
stock,Stock
stomach,estomac
stone,calcul
stop,Arrêtez
store,boutique
storm,tempête
story,récit
stove,le fourneau
straight,tout droit
strain,souche
strange,étrange
strangely,étrangement
stranger,étranger
strategy,stratégie
stream,courant
street,rue
strength,force
stress,stress
stressed,a souligné
stretch,étendue
strict,strict
strictly,strictement
strike,la grève
striking,frappant
string,chaîne
strip,bande
stripe,Bande
striped,rayé
stroke,accident vasculaire cérébral
strong,fort
strongly,fortement
structure,structure
struggle,lutte
student,étudiant
studio,studio
study,étude
stuff,des trucs
stupid,stupide
style,style
subject,matière
substance,substance
substantial,substantiel
substantially,substantiellement
substitute,remplacer
succeed,réussir
success,Succès
successful,réussi
successfully,avec succès
such,tel
suck,sucer
sudden,soudain
suddenly,tout à coup
suffer,souffrir
suffering,Souffrance
sufficient,suffisant
sufficiently,suffisamment
sugar,sucre
suggest,suggérer
suggestion,suggestion
suit,costume
suitable,adapté
suitcase,valise
suited,adapté
sum,somme
summary,résumé
summer,été
sum up,résumer
sun,Soleil
Sunday,dimanche
superior,supérieur
supermarket,supermarché
supply,la fourniture
support,soutien
supporter,Supporter
suppose,supposer
sure,sûr
surely,sûrement
surface,surface
surname,nom de famille
surprise,surprise
surprised,surpris
surprising,surprenant
surprisingly,étonnamment
surround,entourer
surrounding,alentours
surroundings,alentours
survey,sondage
survey,sondage
survive,survivre
suspect,suspect
suspicion,soupçon
suspicious,méfiant
swallow,avaler
swear,jurer
swearing,prestation de serment
sweat,transpiration
sweater,chandail
sweep,balayage
sweet,doux
swell,se gonfler
swelling,gonflement
swim,nager
swimming,nager
swimming pool,piscine
swing,balançoire
switch,commutateur
switch off,éteindre
swollen,gonflé
symbol,symbole
sympathetic,sympathique
sympathy,la sympathie
system,système
table,table
tablet,tablette
tackle,tacle
tail,queue
take,prendre
take away,à emporter
take back,reprendre
take down,descendre
take in,prendre
take off,décollage
take on,prendre en charge
take over,prendre le contrôle
take up,prendre
talk,parler
tall,grand
tank,réservoir
tap,robinet
tape,ruban
target,cible
task,tâche
taste,goût
tax,impôt
taxi,Taxi
tea,thé
teach,enseigner
teacher,prof
teaching,enseignement
team,équipe
tear 1,déchirure 1
tear 2,2 déchirement
tear up,Déchirer
technical,technique
technique,technique
technology,La technologie
telephone,Téléphone
television,télévision
tell,dire
tell off,gronder
temperature,Température
temporarily,temporairement
temporary,temporaire
ten,Dix
tend,tendre
tendency,tendance
tension,tension
tent,tente
tenth,dixième
term,terme
terrible,terrible
terribly,terriblement
test,tester
text,texte
than,que
thank,remercier
thanks,Merci
thank you,Merci
that,cette
that,cette
the,les
theatre,théâtre
their,leur
theirs,les leurs
them,leur
theme,thème
themselves,se
then,puis
theory,théorie
there,Là
therefore,donc
they,ils
thick,épais
thickly,couche épaisse
thickness,épaisseur
thief,voleur
thin,mince
thing,chose
think,pense
think about,Penser à
thinking,en pensant
think of,penser à
think of as,penser que
think over,bien réfléchir
think up,inventer
third,troisième
thirsty,assoiffé
thirteen,treize
thirteenth,treizième
thirtieth,trentième
thirty,30
this,ce
thorough,approfondi
thoroughly,complètement
though,bien que
thought,pensée
thousand,mille
thousandth,millième
thread,fil
threat,menace
threaten,menacer
threatening,menaçant
three,Trois
throat,gorge
through,à travers
throughout,tout au long de
throw,jeter
throw away,désinvolte
throw out,jeter
thumb,pouce
Thursday,Jeudi
thus,Donc
ticket,billet
tidy,rangé
tie,attacher
tie up,ficeler
tight,serré
tightly,fermement
till,jusqu'à ce que
time,temps
timetable,calendrier
tin,étain
tiny,minuscule
tip,pointe
tip over,basculer
tire,pneu
tired,fatigué
tire out,sur pneus
tiring,fatigant
title,Titre
to,à
today,aujourd'hui
toe,doigt de pied
together,ensemble
toilet,toilette
tomato,tomate
tomorrow,demain
ton,tonne
tone,Ton
tongue,langue
tonight,ce soir
tonne,tonne
too,aussi
tool,outil
tooth,dent
top,Haut
topic,sujet
total,total
totally,totalement
touch,toucher
tough,dure
tour,tour
tourist,touristique
towards,vers
towel,serviette
tower,la tour
town,ville
toy,jouet
trace,trace
track,Piste
trade,Commerce
trading,commerce
tradition,tradition
traditional,traditionnel
traditionally,traditionnellement
traffic,circulation
train,train
training,formation
transfer,transfert
transfer,transfert
transform,transformer
translate,traduire
translation,Traduction
transparent,transparent
transport,transport
transport,transport
transportation,transport
trap,prendre au piège
travel,Voyage
traveller,voyageur
treat,traiter
treatment,traitement
tree,arbre
trend,tendance
trial,procès
triangle,Triangle
trick,tour
trip,voyage
tropical,tropical
trouble,difficulté
trousers,pantalon
truck,un camion
TRUE,VRAI
truly,vraiment
trust,confiance
truth,vérité
try,essayer
try on,essayer
try out,Essaie
tube,tube
Tuesday,Mardi
tune,régler
tunnel,tunnel
turn,tour
turn back,faire demi\\-tour
turn down,refuser
turn into,changer en
turn off,éteindre
turn on,allumer
turn out,s'avérer
turn over,tourner
turn round,se retourner
turn to,se tourner vers
turn up,Venez
TV,la télé
twelfth,douzième
twelve,Douze
twentieth,vingtième
twenty,vingt
twice,deux fois
twin,double
twist,torsion
twisted,tordu
two,deux
type,type
typical,typique
typically,typiquement
tyre,pneu
the unemployed,les chômeurs
the unexpected,L'innatendu
ugly,laid
ultimate,ultime
ultimately,en fin de compte
umbrella,parapluie
unable,incapable
unacceptable,inacceptable
uncertain,incertain
uncle,oncle
uncomfortable,inconfortable
unconscious,inconscient
uncontrolled,incontrôlé
under,sous
underground,souterrain
underneath,sous
understand,comprendre
understanding,compréhension
underwater,sous\\-marin
underwear,sous\\-vêtements
undo,annuler
unemployed,sans emploi
unemployment,chômage
unexpected,inattendu
unexpectedly,à l'improviste
unfair,injuste
unfairly,injustement
unfortunate,malheureux
unfortunately,malheureusement
unfriendly,hostile
unhappy,malheureux
uniform,uniforme
unimportant,sans importance
union,syndicat
unique,unique
unit,unité
unite,unir
united,uni
universe,univers
university,Université
unkind,méchant
unknown,inconnue
unless,sauf si
unlike,contrairement à
unlikely,improbable
unload,décharger
unlucky,malchanceux
unnecessary,inutile
unpleasant,désagréable
unreasonable,déraisonnable
unsteady,instable
unsuccessful,infructueux
untidy,désordonné
until,jusqu'à ce que
unusual,inhabituel
